name,accuracy,precision,recall,f1,cv_f1,auc
Logistic Regression,0.7561547479484173,0.7562255558526833,0.7561547479484173,0.7561527371520651,0.7400748737338751,0.8409956788494524
Decision Tree,0.5902696365767878,0.5921396296445925,0.5902696365767878,0.5886858038513922,0.5838187250222644,0.6030547675594846
